,Text,Topic,Text Length,
722,"Functions graphs y = x² + ah + b and y = x² + dia + D intersect at the point with coordinates (1, 1).Compare A5 + D6 and C6 - B5.",5,131,
723,Find the highest value of the expression x² - y²x if 0 ≤ x ≤ 1 and 0 ≤ y ≤ 1.,5,82,
724,"Are there three different real numbers, each of which
In total with the work of the two remaining gives the same number?",5,136,
725,Prove that the graphics of the functions y = x² and y = 2x² are similar figures.,5,80,
726,"a) Prove that the positive root of the square equation bx² - ABX - A = 0, where A and B are various natural numbers, decomposes into a purely periodic chain fraction with a period of a period of 2.
b) Is the reverse statement correctly?",5,233,
727,"At what value of the parameter m the sum of the squares of the roots of the equation
x² - (m + 1) x + m - 1 = 0 is the smallest?",5,115,
728,"The figure shows the function of the function y = x² + ax + b.It is known that the line AB is perpendicular to the straight line y = x.
Find the length of the OC segment.",5,139,
729,"The roots of a square three -martyle f (x) = x² + bx + C are equal to M1 and M2, and the roots of a square three -member G (x) = X² + Px + Q are K1 and K2.
Prove that F (K1) + F (K2) + G (M1) + G (M2) ≥ 0.",5,181,
730,"About the coefficients of A, B, C and D of two square three -piece x² + bx + C and X² + Ax + D, it is known that 0 <a <b <c <d.
Can these three are a common root?",5,163,
731,"A parabola was built on a sheet of paper - a graph of the function y = Ax² + bx + C at a> 0, b> 0 and C <0, - and the axes of the coordinates were erased (see Fig.).
How could they be located?",5,172,
732,"Solve the system of equations:
 x² + y² - 2Z² = 2A²,
 x + y + 2z = 4 (a² + 1),
 Z² - XY = A².",5,102,
733,Solve in integers the equation x + y = x² - xy + y².,5,55,
734,Find all X in which the equation X² + Y² + Z² + 2xyz = 1 (relative to Z) has a real solution for any Y.,5,122,
735,"After the lesson, the function of the function y = k/x and five lines parallel to the straight line y = kx (k ≠ 0) remained on the board.
Find the work of the abscissa of all ten points of intersection.",5,169,
736,It is known that 5 (a - 1) = b + a².Compare the numbers A and B.,5,56,
737,"Prove that if all the coefficients of the equation is an² + bx + c = 0 are whole odd numbers, then not one of the roots of this equation can be rational.",5,154,
738,"At what values of parameter A the sum of the squares of the roots of the equation
X2 + 2AX + 2A2 + 4A + 3 = 0 is the greatest?What is this amount equal to?(Roots are considered taking into account the multiplicity.)",5,183,
739,"Find all the values of X that satisfy the inequality (2 - a) x³ + (1 - 2a) x² - 6x + 5 + 4a - a² <0 at least with one value of the segment [–1, 2].",5,150,
740,At what positive value P of the equation 3x² - 4px + 9 = 0 and X² - 2px + 5 = 0 have a total root?,5,106,
741,Prove that the X4 + Px2 + Q is always up to the work of two polynomials of the second degree.,5,110,
742,"Let a, b, c - in pairs of different numbers.Prove that the expression A2 (C - B) + B2 (A - C) + C2 (B - A) is not equal to zero.",5,117,
743,"For a square three -term F (x) and some actual numbers L, T and V are the equality: F (L) = T + V, F (T) = L + V, F (V) = L + T.
Prove that among numbers L, T and V are equal.",5,188,
744,"The numbers A and B are such that each of the two square three -member X² + AX + B and X² + BX + A has two different roots, and the work of these three -member has exactly three different roots.Find all the possible values of the sum of these three roots.",5,240,
745,Two parabola with various peaks are schedules for square three -member with senior coefficients P and Q.It is known that the top of each of the parabols lies with another parabola.What can be P + Q?,5,207,
746,"Let A, B, C, D - actual numbers that satisfy the system
 a/b + b/c + c/d + d/a = 6,
 a/c + b/d + c/a + d/b = 8.
What values can the expression A/B + C/D take?",5,181,
747,"On the coordinate plane, the graphs of the two cited square three -member and two non -parallel lines L1 and L2 are drawn.It is known that the segments carved by graphs on L1 are equal, and the segments carved by graphs on L2 are also equal.Prove that the graphs of the three -point coincide.",5,275,
748,Find all the actual solutions of equations X² + 2x sin (XY) + 1 = 0.,5,69,
749,"Prove that if | Ax² - bx + C |<1 for any X from the segment [–1, 1], then and | (a + b) x² + c |<1 on this segment.",5,118,
750,"The sum of N numbers is zero, and the amount of their squares is equal to one.Prove that among these numbers there are two, the work of which is no more - 1/n.",5,146,
751,"Find all the simple numbers P, for each of which there is such a natural number M, which is also a natural number.",5,123,
752,Let f (x) = x² + 12x + 30. Solve the equation f (f (f (f (x)))) = 0.,5,71,
753,"Are there such natural numbers a, b and C that each of the equations Ax² + bx + C = 0, Ax + Bx - C = 0, Ax² - bx + C = 0,
Ax² - bx - C = 0 both roots - whole?",5,172,
754,"One of the two quadratic three -martyr above has two roots, smaller 1000, the other - two roots, large 1000. Can the sum of these three -member have one smaller root 1000 and the other is more than 1000?",5,200,
755,Solve the equation x² + 3x + 9 = 9n² in integers.,5,53,
756,"Prove that for any actual numbers A and B, the inequality of A² + Ab + B² ≥ 3 (A + B - 1) is fair.",5,105,
757,"Natural numbers M and N are such that the NOK (M, N) + NOD (M, N) = M + N.Prove that one of the numbers M or N is divided into another.",5,124,
758,"The above square three -member f (x) has two different roots.Can it turn out that the equation f (f (x)) = 0 has three different roots, and the equation f (f (f (x)) = 0 - seven different roots?",5,198,
759,"The numbers P and Q are such that the parabola y = - 2x² and y = x² + px + Q intersect at two points, limiting a certain figure.
Find the equation of the vertical straight line dividing the area of this figure in half.",5,201,
760,"Nonero numbers a, b, C are such that Ax² + bx + C> CX at any x.Prove that cx² - bx + a> cx - b at any x.",5,120,
761,"For the given values a, b, C and D
It turned out that the graphs of functions have exactly one common point.Prove that the graphs of functions also have exactly one common point.",5,178,
762,"Two square three -martens have a common root, and the discriminant of their amount is equal to the sum of their discriminants.
Prove that then the discriminant of at least one of these two three -member is zero.",5,197,
763,"Solve the system of equations:
 X³ - y³ = 26,
 x² - xy² = 6.",5,67,
764,The given square three -term f (x) = x² + bx + C has two different roots.Denote for D his discriminant (d = b² - 4c).How many roots have an equation,5,170,
765,"Prove that if a square equation with whole coefficients has a root [], then the number is the second root",5,116,
766,"Prove that if a square equation with whole coefficients has a root
u = [a;], Then the second root will be the number",5,124,
767,"The phase plane of the OPQ is broken by the parabola p² - 4Q = 0 and straight p + Q + 1 = 0, - 2p + Q + 4 = 0 in several areas.For the points of each area, indicate how many roots the corresponding polynomial x² + px + q = 0 on the interval ( - 2, 1) has the appropriate.",5,252,
768,"It is known that Z + Z - 1 = 2 Cos α.
 a) Prove that Zn + Z - N = 2 COS Nα.
 b) How is Zn + Z - N expressed through y = z + z - 1?",5,132,
769,"There is not a single tower in the city.For the development of tourism, residents of the city are going to build several towers with a total height of 30 floors.The high -rise inspector, rising to each tower, considers the number of lower towers, and then folds the resulting values.After that, the inspector recommends the city more than the resulting value.How much and what height of the towers should residents build in order to get the best possible recommendation?",5,449,
770,"Vasya was set at the house equation X² + P1x + Q1 = 0, where P1 and Q1 are integers.He found its roots P2 and Q2 and wrote a new equation X² + P2X + Q2 = 0. Repeating the operation three more times, Vasya noticed that he solved four square equations and each had two different roots (if two of possible equations had two different roots hadExactly one thing, then Vasya always chose it, and if both are any).However, no matter how Vasya tried, he did not manage to make the fifth equation so that it has two different material roots, and Vasya was very upset.What equation of Vasya was set at home?",5,594,
771,"We call the non -empty (final or endless) set A, consisting of real numbers, full, if for any real A and B (not necessarily different and not necessarily lying in A), in which A + B lies in A, the number AB also lies inA. Find all full sets of real numbers.",5,302,
772,"The graphs of the two square three -pointing intersect at two points.At both points, the tangent to the graphics are perpendicular.
Is it true that the axes of symmetry of graphs coincide?",5,168,
773,"To prove that if the equations with entire coefficients X² + P1x + Q1, X² + P2X + Q2 have a total non -glue root, then P1 = P2 and Q1 = Q2.",5,138,
774,"Prove that any square three -term can be represented in the form
The sums of two square three -member with zero discriminants.",5,128,
775,"Square three -term F (x) is allowed to replace with one of
Tricks or is it possible with the help of such operations from a square three -year -old X² + 4x + 3 to get a three -member x² + 10x + 9?",5,190,
776,"Three cited square tricolines are given: P1 (X), P2 (X) and P3 (X).Prove that the equation | p1 (x) |+ | P2 (x) |= | P3 (x) |It has no more than eight roots.",5,150,
777,"Equation X² + AX + B = 0 has two different actual roots.
Prove that the equation X4 + AX³ + (B - 2) X² - AX + 1 = 0 has four different actual roots.",5,177,
778,"Is there such a square three -term P (x) with whole coefficients that for any natural number n, the decimal record of which is involved in one units, the number p (n) is also recorded
Some units?",5,209,
779,"Various numbers A, B and C are such that equations X² + AX + 1 = 0 and X² + BX + C = 0 have a common actual root.In addition, the general actual root has equations X² + X + A = 0 and X² + CX + B = 0. Find the amount of A + B + C.",5,240,
780,"The sum and work of two purely periodic decimal fractions -
Purely periodic fractions with a period T.
Prove that the initial fractions have periods of no more than t.",5,166,
781,"The square three -term f (x) = x² + AX + b is given.The equation f (f (x)) = 0 has four different actual roots, the sum of two of which is –1.Prove that B ≤ - ¼.",5,172,
782,"Prove that the sides of any unequal triangle can either
Increase, or reduce everything by the same value so that a rectangular triangle turns out.",5,179,
783,"A product of square three -member x² + a1x + b1, x² + a2x + b2, ..., x² + anx + b is polynomial p (x) = x2n + c1x2n - 1 + c2x2n - 2 + ... + c2n --1x + c2nWhere the coefficients C1, C2, ..., C2N are positive.Prove that for some k (1 ≤ k ≤ n) the AK and BK coefficients are positive.",5,291,
784,"Put 3 × 3 in the squares of the square so that if as coefficients A, B, C (A ≠ 0) square equation AX² + bx + C = 0 take numbers from any line (from left to right), column or diagonal (from top to bottom) the square, then the resulting equation will have at least one root.",5,281,
785,"In Petit and Kolya, two numbers are recorded in notebooks;Initially -
These are numbers 1 and 2 in Petit, 3 and 4 - in Kolya.Once per minute, Petya is a square three -term F (X), the roots of which are two numbers recorded in its notebooks, and Kolya is the square three -member G (X), the roots of which are two numbers recorded in his notebook.If the equation f (x) = g (x) has two different roots, then one of the boys replaces its pair of numbers with these roots;Otherwise, nothing happens.
What second number could Peti have in a notebook at the moment when the first was 5?",5,558,
786,"Prove that if the positive quadratic irrationality α = decomposes into a purely periodic chain fraction, then the quadratic irrationality of α '= belongs to the interval ( - 1, 0).",5,207,
787,"Curve 4p³ + 27q² = 0 on
OPQ phase plane is called discriminant curve
Equations X³ + Px + Q = 0. Direct AP + Q + A³ = 0, corresponding to the three municipalities with root A, are called root.What is the mutual location on the phase plane of the OPQ discriminant curve and root straight lines?Do they have common points, and, if they have, then how much?",5,357,
788,"Prove the inequality: + ... + ≥.
The values of variables are considered positive.",5,85,
789,Prove that with no matter what a whole Ax2n + Axn + 2 is divided into polynomial 2x2m + Axm + 3.,5,103,
790,"Prove that for any numbers A1, ..., A1987 and positive numbers b1, ..., b1987 inequality is fair
 ≤ + ... +.",5,125,
791,"Petya and Kolya play the next game: they take turns changing one of the coefficients A or B square three -martyr X² + AX + B: Petya by 1, Kolya - by 1 or on 3. Kolya wins if the course of one of the players is three municipalities,Having whole roots.Is it true that Kolya can win with any initial whole coefficients A and B regardless of Petit's game?",5,357,
792,"The cited square three -bearing f (x) and g (x) are such that the equations f (g (x)) = 0 and g (f (x)) = 0 do not have material roots.
Prove that at least one of the equations F (F (x)) = 0 and G (G (x)) = 0 also does not have material roots.",5,234,
793,Three -term Ax² + bx + C for all the whole X is an accurate fourth degree.Prove that then a = b = 0.,5,109,
794,"The polynomials p, q and r with real coefficients, among which there are polynomials of the second degree and polynomial of the third degree, satisfy the equality of p² + q² = r².Prove that all the roots of one of the many -mints of the third degree are real.",5,247,
795,"Find all such natural (a, b), which A2 is divided into a natural number 2AB2 - B3 + 1.",5,92,
796,"A function is given where the three -member X² + AX + B and X² + CX + D do not have common roots.Prove that the next two statements are equivalent:
 1) there is a numerical interval free from the values of the function;
 2) f (x) represented in the form of: f (x) = f1 (... fn - 1 (fn (x)) ...)), where each of the functions of FI (x) is the function of one of the types:
KIX + BI, X - 1, X².",5,359,
797,"Positive numbers x1, ..., xk satisfy inequalities
 a) Prove that k> 50.
 b) Build an example of such numbers for some K.
 c) Find the minimum K for which an example is possible.",5,209,
798,"Znayka writes on the board of 10 numbers, then Dunno prepares another 10 numbers, and all 20 numbers should be positive and different.Could you write such a little
numbers, then guaranteed to be able to make 10 square three -point
Types X² + PX + Q, among the coefficients P and Q which would have been found all the recorded numbers, and (real) roots of these three -martyr accepted exactly 11 different values?",5,411,
799,"How many methods of the number 20, 21, 2², ..., 22005 can be divided into two non -empty sets A and B so that the equation X² - S (A) X + S (b) = 0, where S (M) is the sum of numbersMany m, had a whole root?",5,197,
800,"A triangle is given with sides A, B and C, and A ≥ B ≥ C;X, Y and Z are the corners of a certain other triangle.Prove that BC + CA - AB <bc cos x + ca cos y + ab cos z ≤ ½ (A² + B² + C²).",5,188,
801,"At what values of parameter A are one of the roots of the equation
X² - 15/4 x + a³ = 0 is a square of another?",5,110,
802,Let f (x) = x² + px + q.At what P and Q are equations F (p) = f (q) = 0?,5,84,
803,"Two parabola are given on the plane: $ y = x^$ 2 and $ y = x^2 - $ 1.Let $ u $ - the set of all points of the plane lying between the paraboles (including points on the parabola themselves).Is there a length of length of more than $ 10^$ 6, which is entirely contained in $ U $?",5,238,
804,"In the triangle ABC with the sides AB = 18 and BC = 12, the BKLM parallelograms are inscribed, and the points K, L and M are on the sides AB, AC and BC, respectively.It is known that the area of the parallelogram is 4/9 of the area of the triangle ABC.Find the sides of the parallelogram.",5,261,
805,One of the roots of the equation X² + AX + B = 0 is 1 +.Find A and B if it is known that they are rational.,5,108,
806,"It is known that the equation X² + 5BX + C = 0 has the roots X1 and X2, X1 ≠ X2, and a certain number is the root of the equation y² + 2x1y + 2x2 = 0 and the root of the equation z² + 2x2z + 2x1 = 0. Find B.",5,192,
807,At what values of the parameter A equation (A - 1) X² - 2 (A + 1) x + 2 (A + 1) = 0 Does only one non -negative solution have?,5,124,
808,What should be the numbers A and B to be equal to X³ + PX + Q = X³ - A³ - B³ - 3ABX?,5,96,
809,"If, with any positive P, all the roots of the Ax² + bx + C + P = 0 equations are valid and positive, then the coefficient A is zero.Prove.",5,143,
810,"We denote the roots of the equation x² + px + q = 0 through x1, x2.Draw many points m (, q) on the phase plane of OPQ,
which are specified by the conditions:
a) x1 = 0, x2 = 1;b) x1 ≤ 0, x2 ≥ 2;
c) x1 = x2;
d) - 1 ≤ x1 ≤ 0, 1 ≤ x2 ≤ 2.",5,253,
811,"In the square equation x² + px + Q, the coefficients P, Q independently run all values from -1 to 1 inclusive.
Find many values that the actual root of this equation takes.",5,210,
812,"To prove that whatever the numbers a, b, c, is at least one of the equations
 a sin x + b cos x + c = 0, 2a tg x + b ctg x + 2c = 0
has a solution.",5,161,
813,"The cited square three -term with whole coefficients in three sequential
Entires take simple values.
Prove that it takes a simple value at least at one more point.",5,209,
814,"Two circles are inscribed in the corners of the ABC triangle
Radii 2 and 3 related to the bisector of the angle a triangle.
Find this bisector if the distance between the points in which the circles relate to BC is 7.",5,216,
815,"Find the smallest value X² + Y², if x2 - y² + 6x + 4Y + 5 = 0.",5,71,
816,"Draw on the phase plane of OPQ many points (p, q), for which the equation x³ + px + q = 0 has three different roots belonging to the interval (–2, 4).",5,163,
817,"On the board it is written n expressions of the species *x² + *x + *= 0 (n - an odd number).Two play such a game.They go in turn.For the course, it is allowed to replace one of the stars with a number not equal to zero.After 3n moves, n square equations will be obtained.The first player strives to ensure that as many these equations as possible have no roots, and the second wants to interfere with him.What is the largest number of equations that do not have roots can get the first player regardless of the game of the second?",5,470,
818,"Let p (x) - square three -term with non -negative
coefficients.
Prove that for any real numbers x and y
The inequality (p (xy) ² ≤ p (x²) p (y²) is fair.",5,171,
819,"The square three is f (x) and g (x) are such that
f '(x) g' (x) ≥ | f (x) |+ | g (x) |For all real X.
Prove that the work f (x) g (x) is equal to the square of some three -martyr.",5,180,
820,"Dream on the phase plane of the OPQ of many points (p, q), for which all roots of equations X³ + px + q = 0 do not exceed in modulus 1.",5,140,
821,"On the shores of the round island there are 20 villages where there are 20 villages in each.A tournament was held in which every fighter met with all fighters from all other villages.The village A is considered stronger than the village B, if at least K fights between the fighters from these villages ends with the victory of the fighter from the village of A. It turned out that each village was stronger than the next clockwise.What is the greatest value K?(All wrestlers have different power, and the strongest always wins in the duel.)",5,512,
822,"It is known that f (x), g (x) and h (x) are square three -nuclear.Can an equation F (G (H (x))) = 0 have roots 1, 2, 3, 4, 5, 6, 7 and 8?",5,130,
823,"On the Ox axes, various points X1, ..., XN, N ≥ 3. are built all the parabols specified by the above square three -member and crossing the axis OX at these points (and not crossing it at other points).Let y = f1 (x), ..., y = fm (x) - appropriate parabola.Prove that the parabola y = f1 (x) + ... + fm (x) crosses the axis Ox at two points.",5,370,
824,"The checkered figure F has the following property: with any filling of the cells of the rectangle M × N, the sum of which is positive, the figure F can be located in the rectangle so that the sum of the numbers in the cells of the rectangle covered with the figure F is positive (the figure f can be rotated).Prove that this rectangle can be covered with a figure F in several layers.",5,373,
825,"It is known that the modules of all roots of equations X² + Ax + B = 0, X² + CX + D = 0 less than one.Prove that the modules of the roots of the equation
x² + ½ (a + c) x + ½ (b + d) x = 0 is also less than one.A, b, c, d are real numbers.",5,225,
826,Dan polynomial x (x + 1) (x + 2) (x + 3).Find its smallest meaning.,5,71,
827,"In the numerical set n numbers, and one of the numbers is 0, and the other is 1.
 a) What is the smallest possible dispersion of such a set of numbers?
 b) What should be a set for this?",5,185,
828,"The quadrangle KLMN is inscribed in a circle.Point P lies with it
side KL, and PM ||KN and PN ||LM.
Find the lengths of the segments KP and LP if MN = 6 and KL = 13.",5,167,
829,"In an isosceles triangle ABC (AC - base) on
The BC side is d and e, and
De = ec = 2.
Find the perimeter of the triangle ABC if it is known that AE = 5, AD =.",5,186,
830,"Oleg drew a empty table 50 × 50 and wrote from above from each column and to the left of each line in terms of number.It turned out that all 100 written numbers are different, and 50 of them are rational, and the remaining 50 are irrational.Then, in each cage of the table, he recorded the sum of numbers written near its line and its column (""Background"").What are the largest number of amounts in this table could be rational numbers?",5,424,
831,"Oleg painted a empty table 50 × 50 and wrote from above from each column and to the left of each line in a non -luminous number.It turned out that all 100 written numbers are different, and 50 of them are rational, and the remaining 50 are irrational.Then, in each cage of the table, he recorded a work of numbers written near its line and its column (""multiplication table"").What are the largest number of works in this table could be rational numbers?",5,451,
832,"Oleg drew a empty table 50 × 50 and wrote from above from each column and to the left of each line in terms of number.It turned out that all 100 written numbers are different, and 50 of them are rational, and the remaining 50 are irrational.Then, in each cage of the table, he recorded a work of numbers written near its line and its column (""multiplication table"").What are the largest number of works in this table could be rational numbers?",5,440,
833,"Inside the parabola y = x² are the non -sparing circles ω1, ω2, ω3, ... so that with each N> 1 circumference ωn touches the branches of the parabola and outwardly the circumference ωn - 1 (see Fig.).Find the radius of the circle σ1998, if it is known that the diameter ω1 is 1 and it applies to the parabola at its top.",5,299,
834,"Draw on the phase plane of the OPQ of many points (p, q), for which the equation x³ + px + q = 0 has
 a) one root;b) two roots;c) three different roots;d) three coinciding roots.",5,199,
835,"All kinds of square three -member species X² + Px + Q are considered, where P, Q are whole, 1 ≤ P ≤ 1997, 1 ≤ Q ≤ 1997.
Which three -member among them is more: having whole roots or not having valid roots?",5,214,
836,"Three athletes started simultaneously from point A and fled in a straight line to point B each at their constant speed.Having reached point B, each of them instantly turned back and fled at another constant speed to the finish line at point A. their coach ran nearby and was all the time at the point, the sum of the distances from which to the participants in the race was the smallest.It is known that the distance from A to B is 60 m and all athletes finished simultaneously.Could a coach run less than 100 m?",5,482,
837,"Positive rational numbers a, b.One of the roots of the three -member X² - AX + B is a rational number, in an unusual record, having a form of m/n.Prove that the denominator of at least one of the numbers A and B (in an inconsistent record) is not less than N2/3.",5,242,
838,"What is the maximum number of parts to defeat the coordinate plane of the XOY graphics of 100 square three -sided species
y = anx² + bnx + cn (n = 1, 2, ..., 100)?",5,159,
839,"100 circles are drawn on the plane, every two of which have a common point (possibly boundary).
Prove that there is a point belonging to at least 15 circles.",5,168,
840,"Direct L divides the area of a convex polygon in half.Prove that this line divides the projection of this polygon into a straight line, perpendicular L, in relation to 1 +.",5,188,
841,"Describe the obvious appearance of the polynomial f (x) = f1 (x) + f2 (x) + ... + fn (x), where FI (x) - polynomials
From the task 61050.",5,111,
842,"Two polynomials p (x) and q (x) are given a positive degree, and p (p (x)) ≡ q (q (x)) and p (p (x)) ≡ q (q (x)))).
Is it necessary then p (x) ≡ q (x)?",5,147,
843,"Two different cubic polynomials f (x) and g (x) are given.Discharged all the roots of equations f (x) = 0, g (x) = 0, f (x) = g (x).It turned out that eight different numbers were written out.Prove that the greatest and
The smallest of them cannot simultaneously be the roots of the polynomial f (x).",5,282,
844,Is it possible to draw more than N tangent from some point of the plane to the graph of the polynomial?,5,106,
845,"Let X1 <x2 <... <xn are valid numbers.Prove that for any Y1, Y2, ..., yn there is the only polynomial f (x) degree not higher than n - 1, such that f (x1) = y1, ..., f (xn) = yn.",5,202,
846,"About polynomial f (x) = x10 + a9x9 + ... + a0 it is known that f (1) = f (–1), ..., f (5) = f (–5).Prove that f (x) = f ( - x) for any real X.",5,161,
847,"Petya and Vasya came up with ten polynomials of the fifth degree.Then Vasya took turns called consistent natural numbers (starting with some), and Petya substituted each of the named number in one of the polynomials of his choice and recorded the obtained values on the board from left to right.It turned out that the numbers recorded on the board form arithmetic progression (precisely in this order).What maximum number of numbers Vasya could name?",5,439,
848,"Dan cubic polynomial f (x).We call the cycle such a three of various numbers (a, b, c) that f (a) = b, f (b) = C and f (c) = a.It is known that there were eight cycles (ai, bi, ci), I = 1, 2, ..., 8, in which 24 different numbers participate.Prove that among the eight numbers of the type AI + Bi + Ci there are at least three different ones.",5,321,
849,"Polynomial p (x) with valid coefficients such that the equation p (m) + p (n) = 0 has an infinitely many solutions in the integers M and N.
Prove that the schedule y = p (x) has a center of symmetry.",5,199,
850,"Let A, B and C - three different numbers.Prove that from equalities
 
It follows that x = y = z = 0.",5,102,
851,"$ P (x, y) $ is such that for any whole $ n \ gqslant 0 $ is each of the $ p (n, y) $ and $ p (x, n) $ or is identically equal to zero, or has no degreeabove $ n $.
Can $ p (x, x) have an odd degree polynomial?",5,235,
852,"The third degree has three different roots strictly between 0 and 1. The teacher told the students two of these roots.He also announced all four polynomial coefficients, but did not indicate in what order these coefficients were going on.Is it possible to restore the third root?",5,270,
853,Prove that any polynomial p (x) degree n can only be laid out according to degrees X - C:,5,103,
854,"Moreover, CK coefficients can be found according to the formula",5,53,
855,"Grisha recorded 100 numbers on the board.Then he increased each number by 1 and noticed that the work of all 100 numbers did not change.He again increased each number by 1, and again the work of all numbers has not changed, and so on.In total, Grisha repeated this procedure K times, and all the times the work of numbers did not change.Find the greatest possible value K.",5,352,
856,"Is there such a square three -term F (x) that for any natural n the equation f (f (... f (x)) = 0 (n letters ""f"") has exactly 2n different actual roots?",5,167,
857,"For each natural n> 1 there is such a number CN that for any X, a product of the number of the number X, the sinus of the number x + π/n, the sinus of the number
x + 2π/n, ... finally, the sinus of the number x + (n - 1) π/n is equal to the product of the number CN for the sine of the number NX.Prove it and find the size of CN.",5,282,
858,"Let p (x) - a polynomial of non -zero degree with whole coefficients.Can all numbers p (0), p (1), p (2), ... be simple?",5,122,
859,Polynomial p (x) degrees N has n various actual roots.What is the largest number of its coefficients can be zero?,5,129,
860,"Is there such a finite set of Mon -toleous real numbers that for any natural n there are many -bearing degrees of no less than N with the coefficients from the set M, all the roots of which are all the roots
Are you valid and also belong to m?",5,232,
861,It is known that A5 - A3 + A = 2. Prove that A6> 3.,5,57,
862,At which A and B polynomial Axn + 1 + bxn + 1 does the number x = 1 not less than a double root?,5,96,
863,"11 girls and n boys went to the forest for mushrooms.Together they collected N² + 9N - 2 mushrooms, and they all collected mushrooms.
Who was more: boys or girls?",5,171,
864,"Let p (x) and q (x) - are polynomial,
Moreover, Q (X) is not equal to zero identical.Prove that there are
Such polynomials t (x) and r (x) that
P (x) = q (x) t (x) + r (x) and deg r (x) <degq (x);Moreover, t (x) and r (x) are determined unambiguously.",5,228,
865,"Divide the polynomials with the remainder:
 a) x4 - 4x³ + 6x² - 3x + 1 on x² - x + 1;
 b) 2x³ + 2x² + x + 6 on x² + 2x + 1;
 c) x4 + 1 on x5 + 1.",5,157,
866,At what P and Q is the double -member X4 + 1 divided by X² + PX + Q?,5,58,
867,"Prove that from equality p (x) = q (x) t (x) + r (x) the ratio (p (x), q (x)) = (q (x), r (x)) follows.",5,101,
868,"Using the method of vague coefficients, find such linear functions p (x) and Q (x) to make equality
P (x) (x² - 3x + 2) + q (x) (x² + x + 1) = 21.",5,163,
869,"At what n
 a) the polynomial x2n + xn + 1 is divided into x² + x + 1?
 b) polynomial x2n - xn + 1 is divided into x² - x + 1?",5,126,
870,"Find all natural n> 2, for which polynomial xn + x² + 1 is divided into polynomial x² + x + 1.",5,102,
871,"Dan polynomials with whole coefficients.At three entire points, he accepts
value 2.
To prove that at any point it does not accept the value 3.",5,153,
872,At what n polynomial 1 + x² + x4 + ... + x2n - 2 is divided into 1 + x + x2 + ... + xn - 1?,5,87,
873,"Cuban and square equations with rational coefficients have a general solution.
Prove that the cubic equation has a rational root.",5,152,
874,"Find the largest common divider of polynomials p (x), q (x) and imagine it in the form of p (x) u (x) + q (x) v (x):
 a) p (x) = x4 + x³ - 3x² - 4x - 1, q (x) = x³ + x² - x - 1;
 b) p (x) = 3x4 - 5x³ + 4x² - 2x + 1, q (x) = 3x³ - 2x² + x - 1.",5,238,
875,"At what n polynomials (x + 1) n + xn + 1 is divided into:
 a) x² + x + 1;b) (x² + x + 1) ²;c) (x² + x + 1) ³?",5,120,
876,"Find the remainder from the division of the polynomial p (x) = x6n + x5n + x4n + x3n + x2n + xn + 1 on q (x) = x6 + x5 + x4 + x3 + x2 + x + 1, if it is known 7.",5,160,
877,Prove that the polynomial p (x) is divided into its derivative and only when p (x) has the form p (x) = an (x - x0) n.,5,121,
878,"Let (p (x), q (x)) = D (x).
Prove that there are such polynomials u (x) and v (x) that degu (x) <deg q (x), deg v (x) <deg p (x) and
P (x) u (x) + q (x) v (x) = d (x).",5,165,
879,Prove that the polynomial p (x) = (xn+1 - 1) (xn+2 - 1) ... (xn+m - 1) is divided into Q (x) = (x - 1) (x2 - 1)... (XM - 1).,5,114,
880,"Prove that if equations x³ + px + q = 0, x³ + p'X + Q '= 0 have a common root, then
(pq ' - qp') (p - p ') ³ = (q - q') ³.",5,126,
881,When dividing the polynomial x1951 - 1 on x4 + x³ + 2x² + x + 1 is a private and residue.Find in the private coefficient for X14.,5,129,
882,"It is known that the polynomial (x + 1) n - 1 is divided into some polynomial p (x) = xk + ck - 1xk - 1 + ck - 2xk - 2 + ... + c1x + c0 of a certain degree K, which has all the coefficients- whole odd numbers.Prove that N is divided into k + 1.",5,226,
883,"The polynomial p (x) satisfies the conditions: p (0) = 1, (p (x)) ² = 1 + x + x100q (x), where q (x) is a polynomial.
Prove that the coefficient for x99 in polynomial (p (x) + 1) 100 is zero.",5,185,
884,"Given the polynomials p (x), q (x).It is known that
For some polynomial r (x, y) equality is performed
P (x) - p (y) = r (x, y) (q (x) - q (y)).
Prove that there is such polynomial s (x) that p (x) = s (q (x)).",5,207,
885,"For this polynomial p (x), we describe the method that allows
build polynomial r (x), which has the same roots as
P (x), but all the multiplicity 1. Put Q (x) = (p (x), p '(x)) and r (x) = p (x) q - 1 (x).Prove that
 a) all the roots of the polynomial p (x) will be roots R (x);
 b) polynomial r (x) has no multiple roots.",5,319,
886,"Prove that with any natural n there is non -equal polynomial p (x) with coefficients equal to 0, –1, 1, no more than 2n degrees, which is divided into
(x - 1) n.",5,161,
887,"Let p (x) and q (x) are polynomial, and Q (x) is not equal to zero and p (x) is not divided into Q (x).Prove that with some S ≥ 1 there are such polynomials A0 (x), a1 (x), ..., as (x) and R1 (x), ..., RS (x), that degq (x)>Degr1 (x)> degr2 (x) ...> degrs (x) ≥ 0,
 P (x) = q (x) a0 (x) + r1 (x),
 Q (x) = r1 (x) a1 (x) + r2 (x),
 R1 (x) = r2 (x) a2 (x) + r3 (x),
 ...
 RS - 2 (x) = RS -1 (x) as - 1 (x) + RS (x),
 RS -1 (x) = RS (x) as (x)
and (p (x), q (x)) = RS (x).",5,480,
